Symbol
ABB.NS
ACC.NS
ACMESOLAR.NS
AIAENG.NS
APLAPOLLO.NS
AWL.NS
AARTIIND.NS
ABBOTINDIA.NS
ACE.NS
ACUTAAS.NS
ADANIENSOL.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ADANIPOWER.NS
ATGL.NS
ABFRL.NS
ABLBL.NS
ABREL.NS
CPPLUS.NS
AEGISLOG.NS
AEGISVOPAK.NS
AFCONS.NS
AFFLE.NS
AJANTPHARM.NS
ALKEM.NS
ABDL.NS
ARE&M.NS
AMBER.NS
AMBUJACEM.NS
ANANTRAJ.NS
ANTHEM.NS
ANURAS.NS
APARINDS.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASAHIINDIA.NS
ASHOKLEY.NS
ASIANPAINT.NS
ASTERDM.NS
ASTRAL.NS
ATHERENERG.NS
ATUL.NS
AUROPHARMA.NS
DMART.NS
BEML.NS
BLS.NS
BAJAJ-AUTO.NS
BALKRISIND.NS
BALRAMCHIN.NS
BATAINDIA.NS
BAYERCROP.NS
BELRISE.NS
BERGEPAINT.NS
BDL.NS
BEL.NS
BHARATFORG.NS
BHEL.NS
BPCL.NS
BHARTIARTL.NS
BHARTIHEXA.NS
BIKAJI.NS
BIOCON.NS
BSOFT.NS
BLUEDART.NS
BLUEJET.NS
BLUESTARCO.NS
BBTC.NS
BOSCHLTD.NS
FIRSTCRY.NS
BRIGADE.NS
BRITANNIA.NS
MAPMYINDIA.NS
CCL.NS
CESC.NS
CGPOWER.NS
CIEINDIA.NS
CAPLIPOINT.NS
CARBORUNIV.NS
CARTRADE.NS
CASTROLIND.NS
CEATLTD.NS
CEMPRO.NS
CHALET.NS
CHAMBLFERT.NS
CHENNPETRO.NS
CIPLA.NS
CLEAN.NS
COALINDIA.NS
COCHINSHIP.NS
COFORGE.NS
COHANCE.NS
COLPAL.NS
CONCORDBIO.NS
CONCOR.NS
COROMANDEL.NS
CRAFTSMAN.NS
CROMPTON.NS
CUMMINSIND.NS
CYIENT.NS
DLF.NS
DOMS.NS
DABUR.NS
DALBHARAT.NS
DATAPATTNS.NS
DEEPAKFERT.NS
DEEPAKNTR.NS
DELHIVERY.NS
DEVYANI.NS
DIVISLAB.NS
DIXON.NS
LALPATHLAB.NS
DRREDDY.NS
EIDPARRY.NS
EIHOTEL.NS
EICHERMOT.NS
ELECON.NS
ELGIEQUIP.NS
EMAMILTD.NS
EMCURE.NS
EMMVEE.NS
ENDURANCE.NS
ENGINERSIN.NS
ERIS.NS
ESCORTS.NS
ETERNAL.NS
EXIDEIND.NS
NYKAA.NS
FACT.NS
FINCABLES.NS
FSL.NS
FORCEMOT.NS
FORTIS.NS
GAIL.NS
GVT&D.NS
GMRAIRPORT.NS
GABRIEL.NS
GALLANTT.NS
GRSE.NS
GILLETTE.NS
GLAND.NS
GLAXO.NS
GLENMARK.NS
MEDANTA.NS
GPIL.NS
GODFRYPHLP.NS
GODREJCP.NS
GODREJPROP.NS
GRANULES.NS
GRAPHITE.NS
GRASIM.NS
GRAVITA.NS
GESHIP.NS
FLUOROCHEM.NS
GMDCLTD.NS
HEG.NS
HBLENGINE.NS
HCLTECH.NS
HFCL.NS
HAVELLS.NS
HEROMOTOCO.NS
HEXT.NS
HSCL.NS
HINDALCO.NS
HAL.NS
HINDCOPPER.NS
HINDPETRO.NS
HINDUNILVR.NS
HINDZINC.NS
POWERINDIA.NS
HONASA.NS
HONAUT.NS
HYUNDAI.NS
IRB.NS
IRCON.NS
ITCHOTELS.NS
ITC.NS
ITI.NS
INDGN.NS
INDIACEM.NS
INDIAMART.NS
INDHOTEL.NS
IOC.NS
IRCTC.NS
IGL.NS
INDUSTOWER.NS
NAUKRI.NS
INFY.NS
INOXWIND.NS
INTELLECT.NS
INDIGO.NS
IGIL.NS
IKS.NS
IPCALAB.NS
JKCEMENT.NS
JBMA.NS
JKTYRE.NS
JSWCEMENT.NS
JSWDULUX.NS
JSWENERGY.NS
JSWINFRA.NS
JSWSTEEL.NS
JAINREC.NS
JPPOWER.NS
JINDALSAW.NS
JSL.NS
JINDALSTEL.NS
JUBLFOOD.NS
JUBLINGREA.NS
JUBLPHARMA.NS
JWL.NS
JYOTICNC.NS
KPRMILL.NS
KEI.NS
KPITTECH.NS
KAJARIACER.NS
KPIL.NS
KALYANKJIL.NS
KAYNES.NS
KEC.NS
KIRLOSENG.NS
KIMS.NS
LTTS.NS
LGEINDIA.NS
LTFOODS.NS
LTM.NS
LT.NS
LATENTVIEW.NS
LAURUSLABS.NS
THELEELA.NS
LEMONTREE.NS
LENSKART.NS
LINDEINDIA.NS
LLOYDSME.NS
LODHA.NS
LUPIN.NS
MMTC.NS
MRF.NS
MGL.NS
M&M.NS
MRPL.NS
MANKIND.NS
MARICO.NS
MARUTI.NS
MAXHEALTH.NS
MAZDOCK.NS
MEESHO.NS
MINDACORP.NS
MSUMI.NS
MPHASIS.NS
NATCOPHARM.NS
NBCC.NS
NCC.NS
NHPC.NS
NLCINDIA.NS
NMDC.NS
NSLNISP.NS
NTPCGREEN.NS
NTPC.NS
NH.NS
NATIONALUM.NS
NAVA.NS
NAVINFLUOR.NS
NESTLEIND.NS
NETWEB.NS
NEULANDLAB.NS
NEWGEN.NS
NUVOCO.NS
OBEROIRLTY.NS
ONGC.NS
OIL.NS
OLAELEC.NS
OLECTRA.NS
ONESOURCE.NS
OFSS.NS
PCBL.NS
PGEL.NS
PIIND.NS
PTCIL.NS
PAGEIND.NS
PARADEEP.NS
PATANJALI.NS
PERSISTENT.NS
PETRONET.NS
PFIZER.NS
PHOENIXLTD.NS
PWL.NS
PIDILITIND.NS
PPLPHARMA.NS
POLYMED.NS
POLYCAB.NS
POWERGRID.NS
PREMIERENE.NS
PRESTIGE.NS
RRKABEL.NS
RHIM.NS
RITES.NS
RADICO.NS
RVNL.NS
RAILTEL.NS
RAINBOW.NS
RKFORGE.NS
REDINGTON.NS
RELIANCE.NS
RPOWER.NS
SJVN.NS
SRF.NS
SAGILITY.NS
SAILIFE.NS
MOTHERSON.NS
SAPPHIRE.NS
SARDAEN.NS
SCHAEFFLER.NS
SCHNEIDER.NS
SCI.NS
SHREECEM.NS
SHYAMMETL.NS
ENRIN.NS
SIEMENS.NS
SIGNATURE.NS
SOBHA.NS
SOLARINDS.NS
SONACOMS.NS
SONATSOFTW.NS
SAIL.NS
SUMICHEM.NS
SUNPHARMA.NS
SUPREMEIND.NS
SPLPETRO.NS
SUZLON.NS
SWANCORP.NS
SWIGGY.NS
SYNGENE.NS
SYRMA.NS
TBOTEK.NS
TVSMOTOR.NS
TATACHEM.NS
TATACOMM.NS
TCS.NS
TATACONSUM.NS
TATAELXSI.NS
TMCV.NS
TMPV.NS
TATAPOWER.NS
TATASTEEL.NS
TATATECH.NS
TTML.NS
TECHM.NS
TECHNOE.NS
TEGA.NS
TEJASNET.NS
TENNIND.NS
RAMCOCEM.NS
THERMAX.NS
TIMKEN.NS
TITAGARH.NS
TITAN.NS
TORNTPHARM.NS
TORNTPOWER.NS
TARIL.NS
TRAVELFOOD.NS
TRENT.NS
TRIDENT.NS
TRITURBINE.NS
TIINDIA.NS
UNOMINDA.NS
UPL.NS
ULTRACEMCO.NS
UBL.NS
UNITDSPR.NS
URBANCO.NS
USHAMART.NS
VTL.NS
VBL.NS
VEDL.NS
VIJAYA.NS
VMM.NS
IDEA.NS
VOLTAS.NS
WAAREEENER.NS
WELCORP.NS
WELSPUNLIV.NS
WHIRLPOOL.NS
WIPRO.NS
WOCKPHARMA.NS
ZFCVINDIA.NS
ZENTEC.NS
ZENSARTECH.NS
ZYDUSLIFE.NS
ZYDUSWELL.NS
ECLERX.NS
